## Tables for ANOVA
## Cross1: Col_x_Ler
##         Col0 input in column 1, output in column 1
##         Input 1 Col0_x_Ler_BR2_TGACCA_L007_PAIR_001.Columns_Col_Ler
##         Input 2 ColxLerBR3_S3_L008_PAIR_001.Columns_Col_Ler
##         Input 3 ColxLerBR4_S4_L008_PAIR_001.Columns_Col_Ler
## Cross2: rdr6_x_Ler
##         Col0 input in column 1, output in column 1
##         Input 1 rdr6_x_Ler_BR3_CGATGT_L006_PAIR_001.Columns_Col_Ler
##         Input 2 rdr6_x_Ler_BR2_CAGATC_L003_PAIR_001.Columns_Col_Ler
##         Input 3 rdr6_x_Ler_BR1_GCCAAT_L003_PAIR_001.Columns_Col_Ler
## Output matrix has 1011 rows.
## Columns are: cross1/replicate1/mat, cross1/replicate1/pat, cross1,replicate2/mat, ...
AT1G11905.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G12180.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G13608.1,7.00,0.00,6.00,0.00,9.00,0.00,7.00,0.00,6.50,0.00,8.50,0.00
AT1G13609.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G13900.1,13078.00,293.00,12442.00,236.00,15276.00,216.00,12370.50,129.00,11346.00,107.00,12924.50,145.00
AT1G14210.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G14230.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G14580.1,748.00,132.00,715.50,156.00,924.50,109.00,402.50,80.00,313.00,48.00,474.50,80.00
AT1G15757.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G15760.1,692.00,36.00,443.50,24.00,607.00,39.00,973.50,2.00,1547.00,26.00,1436.00,22.00
AT1G15770.1,3.00,52.00,0.00,23.00,1.00,23.00,21.00,100.00,7.00,73.00,0.00,141.00
AT1G16290.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G16400.1,10.00,0.00,27.50,1.00,0.00,1.00,14.00,2.00,26.00,0.00,16.00,0.00
AT1G16410.1,33.00,26.00,0.00,1.00,51.50,2.00,14.50,32.00,64.50,29.00,23.00,24.00
AT1G17250.1,1261.50,34.00,1187.50,5.00,1282.50,84.00,1179.00,3.00,937.50,7.00,1261.50,19.00
AT1G17310.1,22.00,0.00,0.50,0.00,15.50,0.00,0.00,0.00,0.00,0.00,10.50,0.00
AT1G17430.1,18271.00,175.00,18224.00,77.00,20360.50,23.00,16707.50,68.00,14056.50,87.00,16314.00,109.00
AT1G17770.1,2016.00,4746.00,2081.00,4436.00,2598.00,5619.00,1069.50,3157.00,798.50,2418.00,1139.50,3449.00
AT1G17820.1,9440.50,2683.00,8889.00,2475.00,11151.00,2479.00,9553.50,1707.00,8912.50,1371.00,10443.50,1825.00
AT1G17840.1,242676.50,2527.00,233894.50,1765.00,266979.50,2382.00,252720.00,1018.00,233135.00,1278.00,261612.00,1486.00
AT1G17860.1,3479.50,280.00,3168.50,312.00,3841.00,219.00,3638.50,483.00,3384.00,450.00,3694.00,434.00
AT1G17950.1,1046.50,3.00,1319.50,0.00,1491.50,0.00,328.50,1.00,312.00,9.00,308.50,0.00
AT1G18250.1,1034.00,754.00,676.50,517.00,919.50,933.00,1734.00,539.00,1503.00,379.00,1497.50,434.00
AT1G18350.1,582.50,545.00,640.50,680.00,791.00,695.00,173.00,129.00,134.50,101.00,270.50,53.00
AT1G18590.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G19140.1,3621.00,196.00,2577.00,98.00,3091.50,231.00,3443.50,82.00,3322.50,93.00,3855.00,125.00
AT1G19160.1,463.50,368.00,405.00,275.00,436.00,417.00,314.00,137.00,169.50,149.00,297.50,256.00
AT1G19640.1,2280.00,116.00,1909.50,22.00,2052.50,63.00,2686.00,35.00,2678.50,63.00,3375.00,66.00
AT1G20140.1,4333.00,1369.00,3765.00,1323.00,3967.00,1079.00,3934.50,735.00,2795.00,683.00,3708.50,690.00
AT1G20470.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AT1G20500.1,6306.00,130.00,5747.00,157.00,5858.50,129.00,4052.00,131.00,2729.00,37.00,3402.50,40.00
AT1G20680.1,17262.00,206.00,18002.00,65.00,19603.50,101.00,15154.50,56.00,16966.00,67.00,17469.50,97.00
AT1G20690.1,1669.00,812.00,1608.50,739.00,1898.50,606.00,1302.50,653.00,1410.00,467.00,1568.50,508.00
AT1G20730.1,16105.00,48.00,14727.50,16.00,16664.50,19.00,11481.50,21.00,10001.00,22.00,10927.50,31.00
AT1G20880.1,3648.00,56.00,3874.00,45.00,4708.00,63.00,3882.00,55.00,3584.50,64.00,4083.00,41.00
AT1G20910.1,646.00,636.00,524.50,454.00,690.50,688.00,578.50,527.00,778.00,475.00,808.00,574.00
AT1G20940.1,832.00,167.00,747.00,191.00,948.00,245.00,719.00,54.00,556.00,102.00,685.00,137.00
AT1G21440.1,13365.50,124.00,11531.50,59.00,13043.50,168.00,12826.00,86.00,11086.50,56.00,12026.50,54.00
AT1G21670.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
