,logFC,AveExpr,t,P.Value,adj.P.Val,B,x
6,3.92385674813638,10.2711618001341,42.2095030204864,5.63613197303838e-07,0.0003521529598554,7.37459856679444,15.1774419290138
98,4.60242719908757,8.84868366808371,39.0688312807371,7.95003869685947e-07,0.0003521529598554,7.0722760266402,24.2923002204796
427,5.47858642340674,10.6777074625978,36.7312588701514,1.0459988906596e-06,0.0003521529598554,6.82200162869584,44.5880877631373
329,3.03254585128673,10.9867471104401,32.7972398842757,1.73068561435951e-06,0.000436998117625777,6.34332711628262,8.18252356027402
407,3.96785506945511,12.7470585213238,29.2244307490905,2.88864912868857e-06,0.000491953511323412,5.8332799358874,15.6474435822045
406,3.70151454464674,13.9603174676189,29.1478436253018,2.92249610687176e-06,0.000491953511323412,5.82143546396212,13.0096887771899
508,4.21381907717099,10.5912031491794,26.8165233032293,4.23067378316602e-06,0.000604867735218335,5.44010751235466,18.5560672812329
30,3.16879355719566,11.4858451734754,26.0748782760229,4.79103156608582e-06,0.000604867735218335,5.30973924278242,8.99294445053926
970,4.3056271150742,9.47952287182293,23.5206813608347,7.56563212550345e-06,0.000701730154779141,4.8225217278576,19.7752923103257
133,4.23273363769833,11.6593015596372,23.0935944972509,8.20515211378441e-06,0.000701730154779141,4.73470940354995,18.8009497472726
28,4.89280142206511,10.5524365896687,22.9531909983385,8.42971021493303e-06,0.000701730154779141,4.70541145904167,29.7084498103639
733,4.87090646955257,13.2371870008657,22.9222028056496,8.4802800633458e-06,0.000701730154779141,4.69891604775746,29.2609858020868
739,3.25066388805886,10.9138353174449,22.022759795857,1.01240157520999e-05,0.000701730154779141,4.50566074385667,9.51803584730266
630,2.70144436457776,8.53160118710148,21.8104726094382,1.05673022942167e-05,0.000701730154779141,4.4586738084295,6.5045279673752
586,3.47548595480179,14.1405592692828,21.7141151718921,1.07763266650297e-05,0.000701730154779141,4.4371672550566,11.1230918100287
488,4.61120421907254,9.9807716476589,21.438895168408,1.14018111971633e-05,0.000701730154779141,4.37511317921162,24.4405393755588
252,1.73310761618941,13.087999432929,21.0761289207401,1.22955602929961e-05,0.000701730154779141,4.29187271825295,3.32443141929198
384,3.68501944027363,11.0159856743503,20.5166068579873,1.38484923225636e-05,0.000701730154779141,4.16014336788185,12.8617891629568
655,1.96166745181173,14.4670910505012,20.4652200265394,1.4002824297962e-05,0.000701730154779141,4.1478361160225,3.89511912687873
591,4.46155453993036,9.86739975556355,20.2949967229437,1.45293040654156e-05,0.000701730154779141,4.10681005355048,22.0323967620163
740,3.56523335850404,13.4466804146007,19.9635574439349,1.56256211214325e-05,0.000701730154779141,4.02577589713371,11.8370145774353
56,3.59651267074008,11.3285143877421,19.9220994855803,1.57697640358866e-05,0.000701730154779141,4.01553079057505,12.096457214875
566,4.16946943923415,9.36966369537145,19.7043413855181,1.65541280568623e-05,0.000701730154779141,3.96131314572954,17.9943170074284
82,2.91634227457055,10.4876170869081,19.5490167476834,1.71428630195928e-05,0.000701730154779141,3.92221890815688,7.54929684013191
735,1.7091295271641,11.191314877427,19.4909374904526,1.73695582866124e-05,0.000701730154779141,3.90750938824056,3.26963485313309
65,3.14902409686215,8.75809292444562,19.0773529544333,1.90943871198625e-05,0.000741743499656195,3.80129614617953,8.8705533095301
99,4.39328152750433,7.20178315890931,18.9101757361313,1.98506259734869e-05,0.000742560453082289,3.75761839657761,21.0140382860536
214,3.66958358609444,11.5102102177213,18.6816768924817,2.09443977905401e-05,0.000755494348873052,3.69720764673577,12.7249103411598
857,2.77433770006243,10.2741506509608,18.1904426484611,2.35561308828002e-05,0.000795151885339636,3.56446937755151,6.84161869340381
896,3.34118494770258,16.3368241951759,18.162899873051,2.37140230399099e-05,0.000795151885339636,3.55690825358115,10.1343731323952
400,2.81114302391149,11.2099579369048,18.0448384777715,2.44056519262661e-05,0.000795151885339636,3.5243518412418,7.01840413624592
753,3.13416023219751,10.8608102231962,17.8224155964584,2.57768795169577e-05,0.000807913604495006,3.46236628621079,8.7796305517279
190,4.31168055333383,10.1294881076954,17.5308458075854,2.77199611970567e-05,0.000807913604495006,3.37979509783193,19.8584422506685
118,4.2382648521988,9.16004909509294,17.34509510842,2.90514828853496e-05,0.000807913604495006,3.32639408730022,18.8731699240452
935,3.89622734065626,13.8791486234427,17.2760122203324,2.95665471426115e-05,0.000807913604495006,3.30637227518864,14.8895406401709
145,3.69520527753467,9.85166260100405,17.2669368356884,2.96350369144961e-05,0.000807913604495006,3.30373545857149,12.9529183725919
272,2.08780863211583,15.5954337684772,17.2650286811713,2.96494619502736e-05,0.000807913604495006,3.30318085751848,4.25101877893238
829,2.51063712168645,9.16831385017536,17.0780856287248,3.11052372671774e-05,0.000807913604495006,3.24851646976857,5.69871688899434
367,2.22066876456788,13.0724428302157,17.0667031720402,3.11966639359458e-05,0.000807913604495006,3.24516686567722,4.66109450612238
856,4.55430519507198,10.5936812665531,16.9049728248564,3.25318812182322e-05,0.000821430000760363,3.19730642344692,23.4953799834522
275,3.534925651516,9.71889036037533,16.7294027825306,3.40612608570348e-05,0.000839070084526954,3.14477900165354,11.590939888427
824,2.17704019618165,12.1134003670751,16.5683239518406,3.55423077794219e-05,0.000843056402683429,3.09605432298949,4.52224826503628
657,3.18986743095236,14.8407139628536,16.5314330801176,3.58925003122648e-05,0.000843056402683429,3.08482248153507,9.12527116851572
154,9.81943401592973,-1.73413918180986,16.4255994922305,3.69207860282527e-05,0.000847499861103073,3.05244813527033,903.533333263138
