"cross1","cross2","gene","unused","Df1","Df2","Df3","residualDF","Sum Sq1","Sum Sq2","Sum Sq3","residualSS","Mean Sq1","Mean Sq2","Mean Sq3","residualMS","F value1","F value2","F value3","residualF","Pr(>F)1","Pr(>F)2","Pr(>F)3","residualPr"
Ler_x_Col,Ler_x_nrpE1,AT1G18250.1,"1",1,1,1,8,0.255208333333349,4343.02700833333,168.375208333334,2188.6128,0.255208333333349,4343.02700833333,168.375208333334,273.5766,0.000932858780076032,15.8749944561535,0.61545910115607,NA,0.976382437951604,0.00403710196213297,0.455340039636567,NA
Ler_x_Col,Ler_x_nrpE1,AT1G18350.1,"1",1,1,1,8,6745.49500833333,898.735208333336,9.88267499999985,1159.0942,6745.49500833333,898.735208333336,9.88267499999985,144.886775,46.5570098329081,6.20301755169399,0.0682096416322322,NA,0.000134594875448077,0.0374879923145069,0.800559242142757,NA
Ler_x_Col,Ler_x_nrpE1,AT1G18590.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G19140.1,"1",1,1,1,8,685.843200000003,719173.440833334,5.25363333333444,5458.30780000006,685.843200000003,719173.440833334,5.25363333333444,682.288475000007,1.00521000299763,1054.06066082726,0.00770001769901562,NA,0.345410751697961,8.82944637945646e-10,0.932232344889782,NA
Ler_x_Col,Ler_x_nrpE1,AT1G19160.1,"1",1,1,1,8,435.848533333334,18585.7923,61.5627000000004,489.261133333335,435.848533333334,18585.7923,61.5627000000004,61.1576416666669,7.12664062013507,303.899754691325,1.00662318431998,NA,0.028380861424039,1.19581209210864e-07,0.345090995235865,NA
Ler_x_Col,Ler_x_nrpE1,AT1G19640.1,"1",1,1,1,8,2117631.681675,21385979.106075,2107410.834675,88094.7188000007,2117631.681675,21385979.106075,2107410.834675,11011.8398500001,192.304983592273,1942.08955064624,191.376814717749,NA,7.07147068598315e-07,7.7573556532659e-11,7.20462846257085e-07,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20140.1,"1",1,1,1,8,47.9999999999991,308423.616033333,1502.59320000001,3015.47093333335,47.9999999999991,308423.616033333,1502.59320000001,376.933866666669,0.127343293465447,818.243313504328,3.98635764222478,NA,0.730432256026177,2.41254350374483e-09,0.080943116900195,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20470.1,"1",1,1,1,8,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20500.1,"1",1,1,1,8,2301.59300833333,827289.802008333,2331.04687500002,9815.21220000006,2301.59300833333,827289.802008333,2331.04687500002,1226.90152500001,1.87593947960356,674.291933909144,1.89994618761274,NA,0.208004929184151,5.19259162528855e-09,0.205400894337191,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20680.1,"1",1,1,1,8,9720.79763333339,41666816.5765333,8736.12403333314,369626.816266665,9720.79763333339,41666816.5765333,8736.12403333314,46203.3520333332,0.210391610252009,901.81371573372,0.189079875136127,NA,0.658664900972367,1.64036820960526e-09,0.675175007527522,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20690.1,"1",1,1,1,8,1033.04963333334,170985.588033333,600.667500000006,317.282933333328,1033.04963333334,170985.588033333,600.667500000006,39.660366666666,26.0474050080228,4311.2457701266,15.1452835786528,NA,0.000925650888543773,3.22038923005013e-12,0.00459821849367948,NA
Ler_x_Col,Ler_x_nrpE1,AT1G20730.1,"1",1,1,1,8,30496.0336333334,5623304.43,30639.3708000001,102431.875133334,30496.0336333334,5623304.43,30639.3708000001,12803.9843916667,2.38176123154143,439.183949151005,2.39295596298456,NA,0.161334742100494,2.82101138866406e-08,0.160469652615819,NA
